library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,OSSetExceptionCallbackEx,functions,1,25.0,no
coreinit,OSSetPeriodicAlarm,functions,1,25.0,yes
coreinit,OSSetThreadCancelState,functions,1,25.0,yes
coreinit,OSSetThreadRunQuantum,functions,1,25.0,no
coreinit,OSSetThreadStackUsage,functions,1,25.0,no
coreinit,OSSignalEvent,functions,1,25.0,yes
coreinit,OSSignalEventAll,functions,1,25.0,yes
coreinit,OSSleepThread,functions,1,25.0,no
coreinit,OSSuspendThread,functions,1,25.0,yes
coreinit,OSSwapAtomic,functions,1,25.0,no
coreinit,OSSwapAtomic64,functions,1,25.0,yes
coreinit,OSSwitchCoroutine,functions,1,25.0,no
coreinit,OSTestAndClearAtomic64,functions,1,25.0,yes
coreinit,OSTestAndSetAtomic64,functions,1,25.0,yes
coreinit,OSTestThreadCancel,functions,1,25.0,yes
coreinit,OSTryAcquireSpinLock,functions,1,25.0,yes
coreinit,OSTryAcquireSpinLockWithTimeout,functions,1,25.0,yes
coreinit,OSUninterruptibleSpinLock_TryAcquire,functions,1,25.0,yes
coreinit,OSUninterruptibleSpinLock_TryAcquireWithTimeout,functions,1,25.0,yes
coreinit,OSWaitAlarm,functions,1,25.0,yes
coreinit,OSWaitEvent,functions,1,25.0,yes
coreinit,OSWaitEventWithTimeout,functions,1,25.0,yes
coreinit,OSWaitRendezvous,functions,1,25.0,no
coreinit,OSWaitRendezvousWithTimeout,functions,1,25.0,no
coreinit,OSWakeupThread,functions,1,25.0,no
coreinit,OSXorAtomic64,functions,1,25.0,yes
coreinit,OSYieldThread,functions,1,25.0,no
gx2,GX2BeginDisplayListEx,functions,1,25.0,no
gx2,GX2CalcColorBufferAuxInfo,functions,1,25.0,no
gx2,GX2CalcDepthBufferHiZInfo,functions,1,25.0,no
gx2,GX2CalcGeometryShaderInputRingBufferSize,functions,1,25.0,no
gx2,GX2CalcGeometryShaderOutputRingBufferSize,functions,1,25.0,no
gx2,GX2CallDisplayList,functions,1,25.0,no
gx2,GX2ClearBuffersEx,functions,1,25.0,no
gx2,GX2CopyDisplayList,functions,1,25.0,no
gx2,GX2CopySurface,functions,1,25.0,no
gx2,GX2DirectCallDisplayList,functions,1,25.0,no
gx2,GX2DrawEx2,functions,1,25.0,no
gx2,GX2DrawIndexedEx,functions,1,25.0,no
gx2,GX2DrawIndexedEx2,functions,1,25.0,no
gx2,GX2DrawIndexedImmediateEx,functions,1,25.0,no
gx2,GX2EndDisplayList,functions,1,25.0,no
gx2,GX2GetAAMaskReg,functions,1,25.0,no
gx2,GX2GetAlphaTestReg,functions,1,25.0,no
gx2,GX2GetAlphaToMaskReg,functions,1,25.0,no
gx2,GX2GetBlendConstantColorReg,functions,1,25.0,no
gx2,GX2GetBlendControlReg,functions,1,25.0,no
gx2,GX2GetColorControlReg,functions,1,25.0,no
gx2,GX2GetContextStateDisplayList,functions,1,25.0,no
gx2,GX2GetCurrentDisplayList,functions,1,25.0,no
gx2,GX2GetDepthStencilControlReg,functions,1,25.0,no
gx2,GX2GetDisplayListWriteStatus,functions,1,25.0,no
gx2,GX2GetEventCallback,functions,1,25.0,no
gx2,GX2GetGeometryShaderGPRs,functions,1,25.0,no
gx2,GX2GetGeometryShaderStackEntries,functions,1,25.0,no
gx2,GX2GetLastFrame,functions,1,25.0,no
gx2,GX2GetLastFrameGamma,functions,1,25.0,no
gx2,GX2GetLineWidthReg,functions,1,25.0,no
gx2,GX2GetPixelShaderGPRs,functions,1,25.0,no
gx2,GX2GetPixelShaderStackEntries,functions,1,25.0,no
gx2,GX2GetPointLimitsReg,functions,1,25.0,no
gx2,GX2GetPointSizeReg,functions,1,25.0,no
gx2,GX2GetPolygonOffsetReg,functions,1,25.0,no
gx2,GX2GetScissorReg,functions,1,25.0,no
gx2,GX2GetStencilMaskReg,functions,1,25.0,no
gx2,GX2GetSurfaceSwizzle,functions,1,25.0,no
gx2,GX2GetSwapStatus,functions,1,25.0,no
gx2,GX2GetSystemDRCMode,functions,1,25.0,no
gx2,GX2GetTargetChannelMasksReg,functions,1,25.0,no
gx2,GX2GetVertexShaderGPRs,functions,1,25.0,no
gx2,GX2GetVertexShaderStackEntries,functions,1,25.0,no
gx2,GX2GetViewportReg,functions,1,25.0,no
gx2,GX2InitAAMaskReg,functions,1,25.0,no
